product_url,product_name,brand,description,mean_price,img_url,sellers,seller_prices
https://www.pharmanity.com/parapharmacie/cotoudou-coton-8x10cm-sachet-de-200-prd194696,"Cotoudou coton 8x10cm, sachet de 200",wellpharma,Rectangles de conton Cotoudou Wellpharma pour les soins de la peau.,"3,91€",https://www.pharmanity.com/assets/img/parapharmacie/cotoudou-8x10cm-sachet-de-200-i194696.png,,
https://www.pharmanity.com/parapharmacie/les-lingettes-au-calendula-x-70-prd131450,Les lingettes au calendula x 70,Pharmactiv,"Les lingettes nettoyantes à l’extrait de calendula. Testé sous contrôle pédiatrique, respecte la peau sensible de bébé. Conseils d’utilisation : Ces lingettes sont fomulées pour nettoyer le visage, les mains et les fesses de bébé. Bien refermer le paquet après utilisation. Précautions d’emploi : Ne pas appliquer sur une peau irritée ou abîmée. Tenir hors de portée des enfants. Ingrédients : Aqua, glycerin, polysorbate 20, parfum, sodium benzoate, potassium sorbate, 1,2-hexanediol, caprylyl glycol, citric acid, calendula officinalis flower extract, tropolone, sorbic acid, sodium hydroxide.","3,57€",https://www.pharmanity.com/assets/img/parapharmacie/les-lingettes-au-calendula-x-70-i131450.png,"PHARMACIE DE LA REPUBLIQUE
88 rue de la République, 61500 Sées, FRANCE","2,65 €"
https://www.pharmanity.com/parapharmacie/les-lingettes-bebe-calendula-lot-de-3-x-70-prd168401,Les lingettes bébé calendula lot de 3 x 70,Pharmactiv,"Les lingettes nettoyantes à l’extrait de calendula. Testé sous contrôle pédiatrique, respecte la peau sensible de bébé. Conseils d’utilisation : Ces lingettes sont fomulées pour nettoyer le visage, les mains et les fesses de bébé. Bien refermer le paquet après utilisation. Précautions d’emploi : Ne pas appliquer sur une peau irritée ou abîmée. Tenir hors de portée des enfants.. Ingrédients :Aqua, glycerin, polysorbate 20, parfum, sodium benzoate, potassium sorbate, 1,2-hexanediol, caprylyl glycol, citric acid, calendula officinalis flower extract, tropolone, sorbic acid, sodium hydroxide.","8,96€",https://www.pharmanity.com/assets/img/parapharmacie/les-lingettes-bebe-calendula-lot-de-3-x-70-i168401.png,,
https://www.pharmanity.com/parapharmacie/l-eau-micellaire-bebe-500ml-prd53977,L'eau micellaire bébé 500ml,Pharmactiv,"Sa formule hypoallergénique nettoie et élimine en douceur les impuretés présentes sur la peau du visage, du corps et du siège de bébé. Spécialement formulée pour les peaux sensibles et délicates, elle respecte la peau de bébé dès la naissance, la laisse fraîche et délicatement parfumée. Sa formule est enrichie en extrait de Calendula, reconnu pour ses propriétés apaisantes et adoucissantes. Testé sous contrôle dermatologique et pédiatrique. Conseils d’utilisation : Appliquer à l’aide d’un coton. Inutile de rincer. Précautions d’emploi : Sa formule hypoallergénique nettoie et élimine en douceur les impuretés présentes sur la peau du visage, du corps et du siège de bébé. Spécialement formulée pour les peaux sensibles et délicates, elle respecte la peau de bébé*, la laisse fraîche et délicatement parfumée. Sa formule est enrichie en extrait de Calendula, reconnu pour ses propriétés apaisantes et adoucissantes. Testé sous contrôle dermatologique et pédiatrique. Ingrédients : Aqua, glycerin, poloxamer 184, peg-40 hydrogenated castor oil, parfum, sodium benzoate, 1,2-hexanediol, caprylyl glycol, citric acid, calendula officinalis flower extract, sodium hydroxide.","5,55€",https://www.pharmanity.com/assets/img/parapharmacie/l-eau-micellaire-bebe-500ml-i53977.png,,
https://www.pharmanity.com/parapharmacie/l-huile-d-amande-douce-75-ml-prd198621,L'huile d'amande douce 75 ml,Pharmactiv,"L’huile d’amande douce Pharmactiv est naturellement riche en acide gras et en vitamine E. Très pratique, sa présentation en spray permet d’assurer une application optimale, sans gaspillage. Formule sans parfum, sans conservateur. Conseils d’utilisation : Dans le bain : effectuer 5 à 10 pulvérisations sous le jet d'eau du robinet. Éviter les bains prolongés chez les nouveaux-nés. En massage après la toilette : effectuer 3 pulvérisations au creux de la main pour mettre l'huile à température du corps et masser votre bébé. Pour éliminer les croûtes de lait : pulvériser directement sur le cuir chevelu de bébé pour ramollir les croûtes de lait. Laisser poser quelques minutes avant le bain. Ingrédients : Prunus amygdalus dulcis oil, tocopherol.","4,25€",https://www.pharmanity.com/assets/img/parapharmacie/l-huile-d-amande-douce-75-ml-i198621.png,,
https://www.pharmanity.com/parapharmacie/le-liniment-485ml-prd53984,Le liniment 485ml,Pharmactiv,"Soin surgraissant à base d’huile d’olive pour prévenir l’apparition des rougeurs. Conseils d’utilisation : Utilisation quotidienne pour le change. Application en couche épaisse à l'aide d'un coton pour protéger la peau de bébé. Bien agiter avant emploi. Ne pas rincer. Précautions d’emploi :En cas de contact avec les yeux, rincer abondamment à l'eau claire. Convient également aux peaux à tendance atopique. Ingrédients : Aqua, olea europaea fruit oil, polyglyceryl-4 diisostearate/ polyhydroxystearate/ sebacate, cera alba, gluconolactone, sodium benzoate, tocopherol, calcium hydroxide, calcium gluconate.","5,18€",https://www.pharmanity.com/assets/img/parapharmacie/le-liniment-485ml-i53984.png,,
https://www.pharmanity.com/parapharmacie/mustela-bebe-lingette-dermoapais-parf-devidoir-x-70-prd60147,Lingettes Dermo Apaisantes Parfumées Mustela - 3x70,Mustela,"Les lingettes-dermo-apaisantes Mustela sont des lingettes adaptées pour nettoyer les fesses de votre bébé. La lingette possède des extraits naturels qui vont hydrater, nettoyer et conserver l'intégrité des cellules de la peau de votre bébé. Mustela vous propose un produit qui correspond aux exigences de la peau des bébés. Les lingettes sont là pour nettoyer les fesses de votre bébé, en prenant soin de la peau de votre bébé. Les lingettes sont également robustes et résistantes. Ces lingettes accompagneront les mamans dans tous leurs déplacements avec leurs bébés !","4,84€",https://www.pharmanity.com/assets/img/parapharmacie/mustela-bebe-lingette-dermoapais-parf-devidoir-x-70-i60147.jpg,,
https://www.pharmanity.com/parapharmacie/gilbert-liniment-oleocalcaire-480-ml-prd50436,Liniment Oléo-Calcaire Gilbert de 480 ml,Gilbert,"Le Liniment Oléo-Calcaire est un produit conçu par les laboratoires Gilbert afin de nettoyer la peau des fesses des bébés. Ce nettoyant pour bébé prend soin de la peau des bébés : il ne contient pas de conservateur, il limite les allergies et il est adapté à toutes les peaux de bébés. Si votre bébé a la peau sensible alors ce liniment oléocalcaire est fait pour lui. 
Nettoyez et les bactéries de la peau de votre bébé, et redonnez de la douceur à sa peau.","5,53€",https://www.pharmanity.com/assets/img/parapharmacie/liniment-oleo-calcaire-gilbert-480-ml-i177956.jpg,"PHARMACIE DE BRIGNOUD
36 Boulevard de la Libération, 38190 Brignoud, FRANCE
PHARMACIE DU NÉRON
4 Rue du 26 mai 1944, 38950 Saint Martin le Vinoux, FRANCE","5,90 €
5,50 €"
https://www.pharmanity.com/parapharmacie/mustela-bebe-dermonettoyant-gel-moussant-500-ml-de-savon-liquide-prd496,Gel Moussant dermo-nettoyant Peau/Cheveux - 500ml,Mustela,"Mustela bébé Dermonettoyant est un gel moussant de 500 ml adapté pour les bébés, dés leur plus jeune âge pour nettoyer aussi bien le corps que le cuir chevelu. ","7,63€",https://www.pharmanity.com/assets/img/parapharmacie/mustela-bebe-dermonettoyant-gel-moussant-500-ml-de-savon-liquide-i496.jpg,"PHARMACIE ET OPTIQUE DE DRAVEMONT
Avenue Salvador Allende, 33270 Floirac, FRANCE","7,50 €"
https://www.pharmanity.com/parapharmacie/gifrer-liniment-oleocalcaire-stabilise-500-ml-prd50390,Liniment oléo-calcaire Gifrer stabilité 500 ml,Gifrer,Le liniment oléo-calaire Gifrer est un produit approprié pour nettoyer les fesses de votre bébé. Ce produit naturel protégera les fesses de votre enfant des irritations ou de démangeaisons. Retrouvez ce soin approprié pour l'hygiène de votre bébé dans une pharmacie à proximité. ,"6,62€",https://www.pharmanity.com/assets/img/parapharmacie/gifrer-liniment-oleocalcaire-stabilise-500-ml-i50390.jpg,"PHARMACIE ALSACE LORRAINE
15 Cours Jean Jaurès, 38000 Grenoble, FRANCE
PHARMACIE DES ARTS
164 Cours Berriat, 38000 Grenoble, FRANCE
PHARMACIE DE LA CAPUCHE
41 Rue de Stalingrad, 38100 Grenoble, FRANCE
PHARMACIE MICHALLET NICOLAS
4 Rue Voltaire, 38500 Voiron, FRANCE","7,80 €
5,95 €
7,20 €
4,30 €"
